Alias,Documented Name
Wonderland Amusement Park,
Kafak Enterprises Limited,
Fawaz,Fouzi
Darwish-Fawaz,Fouzi
Fawaz,Fawzi
Fawaz,Fawzy
Fawwaz,Fawzi
Fawaz,Fowzy
Darwish-Fawaz,Fawzy
Non-Latin: KODO-KAI,Non-Latin: 弘道会
KODOKAI,
KOUDOU-KAI,
THIRD KODO-KAI,
Non-Latin: 三代目弘道会,Non-Latin: SANDAIME KODO-KAI
Non-Latin: 竹内,Non-Latin: 照明
Tahini,Abdallah
Thahini,Abdallah
Tahini,Ahmad
Thini,Abdalla
Haringhton Padron,Katherine Nayarith
Non-Latin: Benavides Torres,Non-Latin: Antonio José
Noguera Pietri,Justo Jose
GONZALEZ LOPEZ,Gustavo Enrique
VIVAS LANDINO,Miguel Alcides
Non-Latin: BERNAL MARTÍNEZ,Non-Latin: Manuel Gregorio
Non-Latin: PÉREZ URDANETA,Non-Latin: Manuel Eduardo
Sigma Tech Company,
Shadi For Cars Trading,
Denise Company,
VALENZUELA,VERDUGO
Choclos,
FERNANDEZ,VALENCIA
Don Julio,
Julia,
FERNANDEZ VALENCIA,Ma.
FERNANDEZ VALENCIA,Maria
BRIONES RUIZ,Abel
NIETO GONZALEZ,Rogelio
BEATTIE DE BRIONES,Myriam
BEATTIE BRIONES,Myriam
BEATTIE MARTINEZ,Myriam
BRIONES RUIZ,Claudia
RUIZ DE BRIONES,Magdalena
RUIZ CARRION,Magdalena
"COMBUSTIBLES BRIONES, S.A. de C.V.",
al Houthi,Abdul Malik
al-Houthi,Abdel-Malek
al-Houthi,Abdel-Malik
Al-Houthi,Abdulmalik
al-Houthi,Abdul Malik
Al-houthi,Abdul-Malik
AL-HOUTH,Abdulmalik Bin Bader Al-Deen
Saleh,Ahmed Ali
Saleh,Ahmad Ali
Saleh,Ahmed Ali
Salih al-Ahmar,Ahmad Ali
Erazo Nolasco,Eduardo
COLOCHO DE WESTER,
Non-Latin: MENDOZA FIGUEROA,Non-Latin: José Luís
VIEJO PAVAS,
Non-Latin: CANALES RIVERA,Non-Latin: Élmer
CROOK,
CRUCK,
CROOCK,
Harzi,Ali
Harzi,Ali
Al-Harzi,Ali Bin Al-tahar
Karate,Mahad
Karate,Mahad
Karate,Mahad
Warsame,Abdirahim
Diriye,Ahmed
Abu Ubaidah,Ahmad
Diriye,Mahad
Ubaidah,Abu
Umar,Ahmad
Abu Ubaidah,Ahmed
Abu Ubaidah,Sheikh Ahmad
Abu Ubaidah,Sheikh Ahmed
Abu Ubaidaha,Sheikh Omar
Umar,Sheikh Ahmed
Abdikarim,Sheikh Mahad
Diriye,Abu
Maziotis,Nikolaos
Maziotis,Nikos
Xiros,Christodoulos
STATE ENTERPRISE KERCH SEA COMMERCIAL PORT,
STATE ENTERPRISE KERCH COMMERCIAL SEA PORT,
KERCH COMMERCIAL SEAPORT,
KERCH MERCHANT SEA PORT,
KERCH SEA PORT,
PORT OF KERCH,
Seaport of Kerch,
al-Ka'bi,Sa'd bin Sa'd Muhammad Shariyan
al-Ka'bi,Sa'd Bin Sa'd Muhammad Shiryan
al-Ka'bi,Sa'd Sa'd Muhammad Shiryan
al-Ka'bi,Sa'd al-Sharyan
Abu Haza',
Abu Hazza',
'Umar al-Afghani,
Abu Sa'd,
Abu Suad,
al-Kawari,'Abd al-Latif Bin 'Abdallah Salih Muhammad
al-Kawari,'Abd-al-Latif 'Abdallah Salih
al-Kuwari,'Abd-al-Latif 'Abdallah Salih
al-Kawwari,'Abd-al-Latif 'Abdallah
al-Kawari,'Abd-al-Latif 'Abdallah
Abu Ali al-Kawari,
Farah,Meliad
Hussein,
Hussein,Hussein
Hassan,Hassan
Hassan,Hassan
Atris,Hussein
Hussein,Atris
ALVAREZ,Inzunza
REY MIDAS,
Osuna Godoy,Rolando
Inzunza Zazueta,Erik
Salas Rojo,Juan
Tamayo Ibarra,Juan
OLIVAS CHAIDEZ,Jose
INGENIERO,
EL BLANCO,
NUEVA ATUNERA TRITON S.A. de C.V.,
OPERADORA EFICAZ PEGASO,
"AG & CARLON, S.A. DE C.V.",
BRIC INMOBILIARIA,
"CONSULTORIA INTEGRAL LA FUENTE, SOCIEDAD CIVIL",
"GRUPO DIJEMA, S.A. DE C.V.",
PLAZA LOS TULES,
PLAZA VIRREYES,
XAMAN HA CENTER,
PLAZA XAMAN HA,
"AHOME REAL ESTATE, S.A. DE C.V.",
"INTERCORP LEGOCA, S.A. DE C.V.",
"LA FIRMA MIRANDA, S.A. DE C.V.",
SANCHEZ,CARLON
CAMACHO,CAZARES
CAMACHO,CAZAREZ
CAMACHO,CAZARES
SANCHEZ,CARLON
TORRES,GONZALEZ
HOTELITO DESCONOCIDO,
"HD COLLECTION, S.A. DE C.V.",
"W&G ARQUITECTOS, S.A. DE C.V.",
"W AND G ARQUITECTOS, S.A. DE C.V.",
"CIRCULO COMERCIAL TOTAL DE PRODUCTOS, S.A. DE C.V.",
AMARAL,AREVALO
Al-Naser Airlines,
Alnaser Airlines,
AL NASER WINGS,
AL NASER WINGS AIRLINES,
Sky Blue Bird Aviation,
Sky Blue Bird FZE,
Sky Blue Airlines,
Shammout,Issam
Shammout,Muhammad
MSN 391,
MSN 449,
MSN 416,
MSN 371,
MSN 376,
MSN 383,
MSN 615,
MSN 164,
MSN 550,
ARENAS DE LORETO,
General Directorate of Syrian Ports,
General Directorate of Ports,
Lattakia Port General Company,
Latakia Port General Company,
Tartous Port General Company,
Syrian General Authority for Maritime Transport,
Syrian General Establishment for Marine Transport,
Syrian General Organization for Maritime Transport,
SYRIAMAR,
Syrian Shipping Agencies Company,
Shipping Agencies Co.,
SHIPCO,
Syrian Chamber of Shipping,
SCOS,
Finikia,
Laodicea,
Souria,
Tabaja,Adham
Tabaja,Adham
Tabajah,Adham
"Al-Inmaa Group For Tourism Works, LLC",
"Al-Inmaa Group for Tourism Work, LLC",
Al-Inmaa Group,
"Al-Inmaa Group, LLC",
Al-Inmaa Engineering and Contracting,
Al-Inmaa Group for Engineering and Contracting,
Inmaa 'Al' for Engineering and Contracting Sarl,
Al-Inmaa For Entertainment and Leisure Projects,
Al-Inmaa Group for Entertainment and Leisure Projects,
Al-Inmaa for Entertainments and Leisure Projects,
Car Care Center,
Car Care Center CCC,
Car Care Center Company,
CCC Company,
Fa'ur,Husayn
Faour,Housein
Hejeij,Kassem
Hujayj,Qasim
Hajij,Qasim
Jok Riak,Gabriel
Jok,Gabriel
Riak,Jok
Riak,Jock
Makol,Gabriel
Makol,Jok
Dual,Simon
Dual,Simon
Dual,Simon
Dual,Simon
Gatweach,Simon
Gatwick,Simon
Gatwech,Simon
Garwich,Simon
General Gaduel,
Dhual,
ALTAF KHANANI MONEY LAUNDERING ORGANIZATION,
The Eagles L.L.C.,
The Eagles International LLC,
Morgan Additives Manufacturing Co.,
Morgan Middle East LLC,
EXIMBANK OF RUSSIA JSC,
"ROSEKSIMBANK, ZAO",
RUSSIAN EXPORT-IMPORT BANK,
GOSUDARSTVENNY SPETSIALIZIROVANNY ROSSISKI EKSPORTNO-IMPORTNY BANK (ZAKRYTOE AKTSIONERNOE OBSHCHESTVO),
Non-Latin: STATE SPECIALIZED RUSSIAN EXPORT-IMPORT BANK JOINT-STOCK COMPANY,Non-Latin: Государственный специализированный Российский экспортно-импортный банк акционерное общество
Eximbank of Russia ZAO,
Eximbank of Russia,
Non-Latin: AO Roseksimbank,Non-Latin: АО Росэксимбанк
Russian Agency for Export Credit and Investment Insurance OJSC,
EKSAR OAO,
ROSSISKOE AGENTSTVO PO STRAKHOVANIYU EKSPORTNYKH KREDITOV I INVESTITSI OTKRYTOE AKTSIONERNOE OBSHCHESTVO,
RUSSIAN AGENCY FOR EXPORT CREDIT AND INVESTMENT INSURANCE JSC,
EXIAR OJSC,
EXIAR,
EXIAR JSC,
JSC VEB.DV,
JSC FAR EAST AND Arctic Region Development Fund,
OJSC THE FAR EAST AND BAIKAL REGION DEVELOPMENT FUND,
AO VEB.DV,
Far East And Baikal Region Development Fund OJSC,
Non-Latin: ООО Инфраструктура Молжаниново,Non-Latin: LLC INFRASTRUCTURE MOLZHANINOVO
Non-Latin: ООО Ресад,Non-Latin: LLC RESAD
RESAD LLC,
Infrastruktura Molzhaninovo,
VEB CAPITAL,
OOO VEB KAPITAL,
Obshchestvo S Ogranichennoi Otvetstvennostyu Investitsionna Ya Kompaniya Vneshekonombanka,
LLC VEB CAPITAL,
VEB ENGINEERING LLC,
OOO VEB INZHINIRING,
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VEB INZHINIRING,
VEB Engineering Limited Liability Company,
OOO VEB Engineering,
VEB LEASING OJSC,
OAO VEB LIZING,
OTKRYTOE AKTSIONERNOE OBSHCHESTVO VEB LIZING,
OPEN JOINT STOCK COMPANY VEB LEASING,
OJSC VEB LEASING,
BANK BELVEB OJSC,
BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY,
BELVESHECONOMBANK OAO,
Bank BelVEB Open Joint Stock Company,
PROMINVESTBANK,
PSC PROMINVESTBANK,
PUBLIC STOCK COMPANY JOINT STOCK COMMERCIAL INDUSTRIAL AND INVESTMENT BANK,
COMMERCIAL INDUSTRIAL AND INVESTMENT BANK PUBLIC JOINT STOCK COMPANY,
JOINT STOCK COMMERCIAL INDUSTRIAL AND INVESTMENT BANK PUBLIC JOINT STOCK COMPANY,
VEB ASIA LIMITED,
ROSNEFT TRADING S.A.,
Paananen,Kai
PAANANEN,Kai
Usachev,Oleg
Usachev,Oleg
Airfix Aviation Oy,
Southeast Trading Oy,
Southeast Trading Ltd,
SET Petrochemicals Oy,
Kolbin,Petr
KOLBIN,Petr
Kolbin,Peter
Kolbin,Pyotr
Southport Management Services Limited,
IPP Oil Products (Cyprus) Limited,
Rotenberg,Roman
Rotenberg,Roman
Oy Langvik Capital LTD,
Bulyutin,Andrey
Omelchenko,Aleksander
Omelchenko,Alexander
Omelchenko,Aleksandr
Omelchenko,Alexandr
Omelchenko,Alexander
STATE ENTERPRISE YALTA SEA TRADING PORT,
YALTA SEA PORT,
YALTA MERCHANT SEA PORT,
PORT OF YALTA,
YALTA COMMERCIAL SEAPORT,
SEAPORT OF YALTA,
Semenova,Olena
Semenova,Elena
Izhevsky Mekhanichesky Zavod JSC,
Baikal,
"Open Joint Stock Company ""Kontsern Izhmash""",
OJSC Kontsern Izhmash,
STATE SHIPPING COMPANY KERCH SEA FERRY,
STATE FERRY ENTERPRISE KERCH FERRY,
STATE ENTERPRISE EVPATORIA SEA COMMERCIAL PORT,
YEVPATORIA COMMERCIAL SEAPORT,
YEVPATORIYA COMMERCIAL SEA PORT,
YEVPATORIYA SEA PORT,
YEVPATORIA SEA PORT,
YEVPATORIA MERCHANT SEA PORT,
PORT OF YEVPATORIA,
PORT OF EVPATORIA,
SEAPORT OF YEVPATORIYA,
STATE ENTERPRISE FEODOSIA SEA TRADING PORT,
THEODOSIA MERCHANT SEA PORT,
THEODOSIA COMMERCIAL SEAPORT,
THEODOSIA SEA PORT,
PORT OF FEODOSIA,
SEAPORT OF FEODOSIYA,
STATE ENTERPRISE SEVASTOPOL SEA TRADING PORT,
SEVASTOPOL SEA TRADE PORT,
SEVASTOPOL MERCHANT SEA PORT,
STATE ENTERPRISE SEVASTOPOL COMMERCIAL SEAPORT,
SEVASTOPOL COMMERCIAL SEAPORT,
SEVASTOPOL SEA PORT,
PORT OF SEVASTOPOL,
SEAPORT OF SEVASTOPOL,
Kurchenko,Sergey
Kurchenko,Sergei
Kurchenko,Serhiy
KURCHENKO,Sergii
KURCHENKO,Serhiy
PRIVATE JOINT-STOCK COMPANY MAKO HOLDING,
MAKO HOLDING,
Milenyum Energy S.A.,
Milenyum Shipping,
Milenyum Denizcilik Gemi Hizmetleri Acentelik ve Ozel Ogretim Hizmetleri Limited Sirketi,
Milenyum Denizcilik Gemi,
Ebla Trade Services S.A.L./Off-Shore,
Kenar,Ufuk
Duzgoren,Serkan
Duzgoren,Erkan
Aydin,Mustafa
Green Shipping Ltd.,
Aqua Shipping Ltd.,
Aqua Shipping Ltd.-Mai,
Tala,
Blue Dream,
Blue Way,
Bluegas,
Green Light,
Aqua,
Mariana,
Blue Energy Trade Ltd. Co.,
Lai,Leonard
Lai,Yong Chian
Senat Shipping Limited,
Senat Shipping and Trading Private Limited,
Senat Shipping & Trading Pte Ltd,
Senat Shipping and Trading Ltd,
Senat Shipping Agency Ltd,
Dawnlight,
Haqqani,Abdul Aziz
Haqqani,Aziz
Aqil,Ibrahim
Akil,Ibrahim
Akiel,Ibrahim
'AQIL,Ibrahim
'AQIL,Abd
MEHDI,Ghosn
'ABD-AL-QADIR,
TAHSIN,
Shukr,Fu'ad
Chakar,Fu'ad
Chakar,Al-Hajj
CHAKAR,Fouad
"J & P ADVERTISING, S.A. DE C.V.",
"J AND P ADVERTISING, S.A. DE C.V.",
"JJGON, S.P.R. DE R.L. DE C.V.",
LAS FLORES CABANAS,
CABANAS LAS FLORES,
CABANAS LA LOMA,
CABANAS LA LOMA EN RENTA,
CABANAS LA LOMA TAPALPA,
MIZU SUSHI LOUNGE,
ONZE BLACK,
TEQUILA ONZE BLACK,
FEO,ALVARADO
BENAVIDES,
VALGO GRUPO DE INVERSION S.A. DE C.V.,
Yekatom,Alfred
Yekatom Saragba,Alfred
Ekatom,Alfred
Saragba,Alfred
Rambo,
Rambot,
Rombot,
Rombhot,
Romboh,
Soussou,Habib
Habib,Soussou
Abib,Soussou
Saidou,Habib
Younous,Oumar
Younous,Omar
Sodiam,Oumar
M'Betibangui,Oumar
Abdoulay,Oumar
Abdoulay,Oumar
Yunus,'Umar
BADICA,
Bureau d'Achat de Diamant en CentrAfrique,
KARDIAM,
Kardiam BVBA,
CARDIAM,
al 'Anabi,Abu 'Ubaydah
al-Anabi,Yusuf
al-Annabi,Abou Obeida
al-Inabi,Abu-Ubaydah
Yazid,Mebrak
Abu Obeida,Youcef
Yazid,Mibrak
Yazid,Yousif
Mebrak,Yazid
Mabrak,Yazid
Abu Ubaydah,Yusuf
Abou Youcef,
Mushtaha,Rawhi
Sinwar,Yahya
Sinwar,Yahya
al-Sinwar,Yehya
Sinwar,Yehia
Sinwar,Yehiyeh
Deif,Muhammed
al-Dayf,Muhammad
al-Masri,Mohammed
al-Aruri,Salih
al-Aruri,Saleh
al-Aruri,Salah
al-Arouri,Saleh
al-Arori,Salih
al-Arouri,Salah
al-Aruri,Salih
al-Arouri,Saleh
Sulayman,Salih
Suleiman,Salih
Sulaiman,Salih
Muhammad,Abu
Salah,Mahir
Salah,Mahir
Salah,Maher
Salah,Maher
Salah,Maher
Salah,Mahir
Salah,Mahir
Arif,Abu
Aref,Abu
Shacker,Abu
Akram,Abu
Awad,Mohammed
Awad,Rida
Awad,Hamid
Reda,Haj
Al-Agha,Abu Ubaydah
Alagha,Abu Obaidah
El Agha,Abou Oubida
Al Agha,Abu Obaida
Alagha,Abu Obidah
Al Agha,Abu Ubaida
Hafez,Abu-Obaidah
Alagha,Abuobaida
Agha,Abu Obaida
Hafiz,Abu Ubaydah
Al-Agha,Abu Ubaydah
Hafiz,Abu 'Ubaydah
Hafaz,Abu Ubayda
Al-Agha,Abu Ubayda
Agha,Abu Ubaydah
Alagha,Abu Obaida
Alagha,Abu Obeidah
Al Agha,Abuobaidah
Hafez,Abu-Obaidah
Hafiz,Abu Obidah
Al-Agha,Abu-'Ubaydah
Alagha,Abu Obaida
Hafez,Abo Obeida
Hafiz,Abu Ubayda
Hafez,Abu Obaida
Hafeth,Abu Ubaydah
Hafith,Abu Ubaydah
Asyaf International Holding Group for Trading and Investment,
Asyaf International Holding Group for Trading & Investment,
Asyaf International Holding Group,
Asyaf Group,
Al-Osama Trading Co. Ltd.,
Osama Trading Company Ltd,
Al-'Usama Trading Company,
Al-'Usamah Company,
Asama Commercial Company,
Asama Company,
M/S Osama Khairy Hafez Trading Est.,
Nurin Company,
Dan Isdico,
AL ZAROONI EXCHANGE,
ALZROONI EXCHANGE,
M/S. AL ZAROONI EXCHANGE,
Awan,Paul
Anei,Paul
Malong,Paul
Malong,Bol
Malong,Paul
Hwang,Su Man
Hwang,Kyong Nam
Eko Development and Investment Company,
EKO Import and Export Company,
EKO Development & Investment Food Company,
Kim,Kyong Nam
Kim,Kyo'ng-Nam
Ko,Tae Hun
Kim,Myong Gi
Jang,Bom Su
Jang,Pom Su
Jang,Hyon
Choe,Song Il
Kim,Jung Jong
Kim,Chung Chong
Jon,Myong Guk
Cho'n,Myo'ng-kuk
Jon,Yong
STRATEGIC ROCKET FORCE OF THE KOREAN PEOPLE'S ARMY,
Strategic Forces,
Strategic Rocket Force,
The Strategic Rocket Force Command of KPA,
Strategic Force,
ZAPATA BERRIO,Jorge
JONAS,
MAYA RIOS,Edison
GOMELO,
MOTOS Y REPUESTOS JOTA,
al-Harbi,Nasir
al-Harbi,Nasir
al-Harbi,Abu-Bilal
al-Ghaydani,Abu-Bilal
al-Najdi,Hammam
Bilal,
al-Ras,Ra'i
al-Rumaysh,Mu'tassim
al-Jeddawi,Abu-Rayhanah
Abu-Rayhanah,
Rayhanah,
Handalah,
Laaboudi,Morad
Laaboudi,Mourad
Abu Ismail,
Al-Maghribi,Abu Ismail
Al-Magrabi,Abu Isma'il
al-Shawakh,Ali
al-Shawagh,'Ali
al-Shawakh,Ali
al-'Aujayd,Abdullah
al-Shawwakh,Ibrahim
al-Shawakh,Muhammad
Awas,Ali
Derwish,'Ali
Hammud,Ali
al-Hamud,'Ali
al-Sahl,Abu
al-Suri,Abu
Luqman,Abu
Ayyub,Abu
Bajro,Ikanovic
al-Jaburi,Sami
al-'Ajuz,Sami
Muhammad,Sami
al-'Ajuz,Sami
A'raj,Sami
Asia,Abu
Asiya,Abu
Samiyah,Abu
Sumayyah,Abu
Hamad,Hajji
Hamid,Hajji
Hamid,Ustadh
Aljarba,Tarad
Aljarba,Tarad
al-Shimali,Abu-Muhammad
Hussain,Omar
al-Britani,Abu Sa'eed
Muwaffaq,Mustafa Muhammad
Abu Salah,
Muwafaq,Mustafa Muhammad Ali
Muwafaq,Mustafa Muhammad 'Ali
Al-'Afri,Abu Salah
el Kharmoush,Muwaffaq
Al-Karmush,Muwafaq
Muhammad,Muwaffaq
Al-Karmush,Muwaffaq
Karmush,Muwaffaq
al-Karmoush,Muafaq
al-Karmush,Muwaffaq
Karmoosh,Muwafaq
Al-Sha'iri,Husayn
al-Sha'ari,Hasan
Abu-HAbib,Hasan
Al-Salihin,Habib
Al-Libi,Abu-Habib
Chad,Mustapha
Tchad,Mustapha
Nur,Mohammed
Nura,Mohammed
Nur,Mammam
Nur,Mohammad
Muhammad,Muhammad
Nuru,Mallam
Helal,Mounir
Helel,Mounir
Hilel,Mounir
Rahmah,Abu
Al-Tunisi,Abu Maryam
Ibrahim,Munir
BURITICA HINCAPIE,Geova
CAMILO CHATA,
MI VIEJO,
Khan,Hafiz
Saeed,Hafiz
Said,Khan
Khan,Wali Hafiz Sayid
Sa'id,Hafiz
Khan,Hafiz
Khan,Hafiz
Khan,Hafiz
Khan,Hafez
Khan,Shaykh Hafidh
Ahmad,Sayed
Febriwansyah,Tuah
Febriwansyah Bin Arif Hasrudin,Tuah
Febriwansah,Tuwah
Fachri,Muhammad
Fachria,Muhammad
Fachry,Muhammad
Ibrahim,Muhammad
Ibrahim,Mohammad
Ibrohim,Muhammad
Ibrahim,Sholeh
Ibrahim,Muhammad
Ibrahim,Muh
LOS CHATAS,
Mahmood,Aqsa
Layth,Umm
Jones,Sally-Anne
Jones,Sally
Jones,Sally
al-Britani,Umm Hussain
Hussain,Sakinah
Mujahidin Indonesia Timur,
Mujahideen Indonesia Timor,
Mujahidin of Eastern Indonesia,
Mujahidin Indonesia Barat,
Mujahidin Indonesia Timor,
Mujahidin of Western Indonesia,
MIB,
MIT,
Konig,Emilie
Cherif,Peter
Cheraf,Peter
Cheraf,Abu Hamza
Khalimov,Gulmurod
Ali Hakim,Boubaker
el-Hakim,Boubakeur
al-Hakim,Boubakeur
el Hakim,Boubaker
Abou al Mouqatel,
Abou Mouqatel,
Abu-Muqatil al-Tunisi,
Islamic State of Iraq and the Levant - Caucasus Province,
Vilayat Kavkaz,
Wilayat Qawqaz,
Wilayah Qawkaz,
Caucasus Wilayah,
Caucasus Province,
Hauchard,Maxime
Abou Abdallah Al Faransi,
Aselderov,Rustam
Abu Mukhammad al-Kadar,
Abu Mukhammad Kadarsky,
Abu Mukhammad Kadarskiy,
Abu Mohammad al-Qadari,
Abu Muhammad al-Kadarskii,
Asildarov,Rustam
Aseldarov,Rustam
Gaziyev,Tarkhan
Izmaylov,Shamil
Abu Khalif,
Abu Hani,
Abu Khanif,
Abu Hanif,
Jund al-Khilafah in Algeria,
JaK-A,
Jund al-Khalifa fi Ard al-Jazayer,
Jund al-Khilafah fi Ard al-Jaza' ir,
Soldiers of the Caliphate in Algeria,
Caliphate Soldiers of Algeria,
Soldiers of the Caliphate in the Land of Algeria,
Jund al Khalifa-Algeria,
Jund al-Khalifa,
Jund al-Khilafa Group,
Muthana,Nasser
Abu Muthanna al-Yemeni,
Abu Muthanna al Yemeni,
Abu Muthana Al Yemeni,
Erdogan,Emrah
al-Kurdi,Salahuddin
ISIL Khorasan,
Islamic State's Khorasan Province,
ISIS Wilayat Khorasan,
ISIL's South Asia Branch,
South Asian Chapter of ISIL,
The Islamic State of Iraq and ash-Sham - Khorasan Province,
The Islamic State of Iraq and Syria - Khorasan,
Islamic State of Iraq and Levant in Khorasan Province,
Islamic State Khurasan,
ISISK,
ISIS-K,
IS-Khorasan,
Chatayev,Akhmed
Tschatajev,Ahmed
Tschatayev,Ahmed
TSCHATAJEV,Achmed
TSCHATAYEV,Achmed
Chataev,Ahmed
Al-Shishani,Akhmed
CHATAEV,A.R.
Shishani,Akhmad
Chataev,Akhmed
Odnorukiy,
Sene,Elmir
Chatayev,Akhmad
Chatayev,Akhmet
Chataev,Akhmet
Akhmed Odnorukiy,
Akhmed the One-Armed,
Guchayev,Zaurbek
Guchaev,Zaurbek
Aziz,Abdul
Muthana,Aseel
Abu Fariss,
Atabiyev,Islam
Atabiyev,Islam
al-Shishani,Abu-Jihad
the Chechen,Abu Jihad
Atabiev,Islam
Dzhikhad,Abu
AKTSIONERNOE OBSCHESTVO 'YALTINSKAYA KINODSTUDIYA',
JOINT STOCK COMPANY YALTA FILM STUDIO,
OAO YALTINSKAYA KINOSTUDIYA,
JSC YALTA FILM STUDIO,
YALTA FILM STUDIO,
YALTA FILM STUDIOS,
CJSC YALTA-FILM,
KINOSTUDIYA YALTA-FILM,
FILM STUDIO YALTA-FILM,
TSYPLAKOV,Sergey
TSYPLAKOV,Gennady
DEYNEGO,Vladyslav
DEYNEGO,Vladislav
IOFFE,Eduard
IOFFE,Eduard
KARAMYAN,Vakhtang
KARAMIAN,Vakhtang
CHERNYKH,Tatiana
CHERNYKH,Tatiana
Peng,Bo
Peng,Kevin
"KAIKAI TECHNOLOGY CO., LTD.",
"NANJING KAIKAI TECHNOLOGY CO., LTD.",
"NANJING KAIKAI POLYURETHANE CO., LTD.",
"EASTNINE CHEMICALS CO., LTD.",
"EASTNINE INTERNATIONAL TRADING CO., LTD.",
RI,Chong Chol
Ri,Jong Chol
LIMITED LIABILITY COMPANY SBERBANK CAPITAL,
SBERBANK CAPITAL LLC,
SBERBANK KAPITAL OOO,
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU SBERBANK KAPITAL,
SBERBANK CAPITAL LIMITED LIABILITY COMPANY,
Agha,Torek
Hashan,Sayed
Agha,Torak
Agha,Toriq
Sayed,Toriq
LIMITED LIABILITY COMPANY SBERBANK INVESTMENTS,
SBERBANK INVESTMENTS LLC,
SBERBANK INVESTMENTS OOO,
JOINT STOCK COMPANY SBERBANK LEASING,
CJSC SBERBANK LEASING,
SBERBANK LEASING ZAO,
SBERBANK LIZING ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,
Sberbank Leasing JSC,
RUSSKO-GERMANSKAYA LIZINGOVAYA KOMPANIYA ZAO,
Non-Latin: Общество с ограниченной ответственностью Сетелем Банк,Non-Latin: SETELEM BANK LIMITED LIABILITY COMPANY
Non-Latin: CETELEM BANK LLC,Non-Latin: Сетелем Банк ООО
SETELEM BANK OOO,
SETELEM BANK OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU,
KOMMERCHESKI BANK UKRSIBBANK OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU,
Cetelem Bank Limited Liability Company,
Non-Latin: OPEN JOINT STOCK COMPANY BPS-SBERBANK,Non-Latin: Открытое акционерное общество Сбер Банк
BPS Sberbank OJSC,
Non-Latin: BPS-SBERBANK OAO,Non-Latin: ОАО Сбер Банк
Sber Bank,
JOINT STOCK COMPANY SBERBANK,
SUBSIDIARY BANK SBERBANK OF RUSSIA PUBLIC JOINT STOCK COMPANY,
SBERBANK OF RUSSIA SUBSIDIARY BANK PUBLIC JOINT STOCK COMPANY,
PUBLICHNE AKTSIONERNE TOVARYSTVO DOCHIRNII BANK SBERBANKU ROSII,
JSC SBERBANK OF RUSSIA,
SBERBANK OF RUSSIA SUBSIDIARY BANK PRIVATE JOINT STOCK COMPANY,
JSC Sberbank,
Aktsionerne Tovarystvo Sberbank,
SBERBANK EUROPE AG,
VTB BANK BELARUS CLOSED JOINT STOCK COMPANY,
VTB BANK BELARUS CLOSED JOINT STOCK COMPANY,
VTB BANK BELARUS,
CJSC VTB BANK BELARUS,
CJSC SLAVNEFTEBANK,
VTB BANK BELARUS CJSC,
VTB BANK ARMENIA CLOSED JOINT STOCK COMPANY,
SAVINGS BANK OF THE REPUBLIC OF ARMENIA,
VTB Bank Armenia CJSC,
BANK VTB KAZAKHSTAN JOINT STOCK COMPANY,
Bank VTB Kazakhstan JSC,
Subsidiary JSC Bank VTB Kazakhstan,
Joint Stock Company VTB Bank Kazakhstan,
VTB BANK AZERBAIJAN OPEN JOINT STOCK COMPANY,
BANK VTB AZERBAIJAN OJSC,
JSC VTB BANK AZERBAIJAN,
OJSC AF BANK,
BANCO VTB AFRICA SA,
VTB AFRICA,
VTB BANK GEORGIA JOINT STOCK COMPANY,
JSC VTB BANK GEORGIA,
UNITED GEORGIAN BANK,
VTB Bank Georgia JSC,
VTB CAPITAL HOLDINGS CLOSED JOINT STOCK COMPANY,
KHOLDING VTB KAPITAL ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,
HOLDING VTB CAPITAL CJSC,
VTB CAPITAL HOLDING ZAO,
VTB CAPITAL HOLDING CJSC,
VTB Capital JSC,
VTB PENSION ADMINISTRATOR LIMITED,
VTB PENSION ADMINISTRATOR LTD,
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB PENSIONNY ADMINISTRATOR,
VTB PENSIONNY ADMINISTRATOR OOO,
LIMITED LIABILITY COMPANY VTB DC,
LLC VTB DC,
VTB DC Limited,
VTB DC LTD,
VTB FACTORING LTD,
OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB FAKTORING,
VTB FAKTORING OOO,
VTB FACTORING LIMITED,
NPF VTB PENSION FUND JOINT STOCK COMPANY,
NONPROFIT ORGANIZATION NON-STATE PENSION FUND VTB PENSION FUND,
"NPF VTB PENSIONNY FOND, AO",
AKTSIONERNOE OBSHCHESTVO NEGOSUDARSTVENNY PENSIONNY FOND VTB PENSIONNY FOND,
"NON-STATE PENSION FUND VTB PENSION FUND, JSC",
NEKOMMERCHESKAYA ORGANIZATSIYA NEGOSUDARSTVENNY PENSIONNY FOND VTB PENSIONNY FOND,
NPF VTB Pension Fund JSC,
VTB REAL ESTATE LIMITED LIABILITY COMPANY,
"VTB NEDVIZHIMOST, OOO",
"VTB REAL ESTATE, LLC",
